yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,GMM_Cluster,GMM_Max_Probability
No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,-3,61,Every three months,Female,2,0.9999999982643857
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+2,51,Every three months,Female,5,0.9999999999997939
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+1,62,Every three months,Female,0,0.9999999299445521
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+4,69,Once a week,Female,5,0.9999999999991047
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+2,49,Once a month,Male,7,0.9999999999998401
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,55,Every three months,Male,5,0.9999682912511245
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,+2,56,Every three months,Female,6,0.9999998555500083
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a week,Female,5,0.9999999999999432
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,58,Once a year,Male,3,0.999999999999595
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,32,Every three months,Female,5,0.9999999997524398
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-2,53,Every three months,Female,4,0.9999991978184772
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+3,28,Once a month,Male,5,0.9999999881271472
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,65,Every three months,Male,4,0.9999997067537126
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,54,Once a month,Male,6,0.9999999091818387
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,67,Once a month,Male,2,0.9997479123672843
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,51,Once a month,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,34,Once a month,Female,5,0.9999999999999432
Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,+2,31,Once a month,Male,1,1.0
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-4,47,Every three months,Female,2,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I love it!+5,37,More than once a week,Male,5,0.9999999881271472
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+2,41,Once a year,Female,5,0.9999999881271472
Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,+2,36,Once a month,Male,5,0.9999945747994279
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-2,23,Once a week,Female,5,0.9999999900432197
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,50,More than once a week,Female,5,0.9999052979205579
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,39,Every three months,Female,6,0.9999999999995985
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,35,Every three months,Female,5,0.9999999999996234
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,20,Every three months,Male,5,0.9999999999991047
No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,0,34,Once a month,Female,7,0.9999999997297593
No,Yes,No,No,No,Yes,No,No,No,No,No,0,55,Every three months,Male,4,0.9999999999998899
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,24,Every three months,Female,6,0.9999999999995985
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,44,Once a month,Male,5,0.9999999999999432
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,40,Once a month,Female,4,0.9999999999999893
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,55,Once a month,Male,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,37,Never,Male,7,0.9999448130082607
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,48,Once a week,Male,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,54,Every three months,Female,7,0.9999448130082607
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,38,Every three months,Female,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,49,Every three months,Female,7,0.9999448130082607
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,35,Never,Female,2,0.9999364419893985
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,55,Once a year,Male,2,0.9999999440098131
Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,+2,31,Once a year,Male,6,0.9997749799767445
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,57,More than once a week,Male,6,0.9999999999995985
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,69,More than once a week,Male,6,0.9999999999990443
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,37,Every three months,Female,5,0.9999935367592383
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,60,Never,Male,7,0.9999448130082607
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+2,36,Once a month,Male,1,1.0
No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,+1,54,Every three months,Male,4,0.9999999999999929
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,66,Once a month,Male,5,0.9999828688197381
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,32,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,67,Once a year,Male,5,0.9999999999999432
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,42,Once a week,Female,2,0.9981216257818291
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,26,Once a month,Female,5,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,58,Once a year,Female,5,0.9999999997524398
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,48,Once a month,Male,2,0.9999776649436288
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,54,Once a month,Female,6,0.9999999999995026
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,62,Once a year,Male,4,1.0
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,52,Once a year,Female,7,0.9999448130082607
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,53,Every three months,Male,7,0.9999742942287393
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,47,More than once a week,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,Once a month,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,I love it!+5,29,Once a week,Female,5,0.9999999999999858
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,24,Once a week,Male,1,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,25,Once a week,Female,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,54,Once a month,Male,2,0.9998026921367879
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,23,Once a month,Female,5,0.9999999999999432
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,0,34,Never,Female,2,0.9999999471154158
No,Yes,No,No,No,No,No,No,Yes,No,No,+1,47,Every three months,Male,3,0.9999996218197258
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,22,Once a week,Male,1,1.0
No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,47,Once a year,Male,4,0.9999999999982343
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,56,Once a month,Male,5,0.9999682912511245
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,55,Every three months,Male,4,0.9999999999993499
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,56,Every three months,Female,6,0.9999999999995026
No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,56,Every three months,Female,0,0.9999999963152169
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,37,Every three months,Female,7,0.9999999978343652
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female,6,0.9999999999995026
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,40,Every three months,Male,3,0.9999999991009716
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,61,Once a week,Male,5,0.9999682912511245
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-2,55,Every three months,Male,2,0.9997479123672843
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,45,Once a year,Female,5,0.9999999837365473
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,42,Once a month,Male,6,0.9999999999995026
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,+2,52,Every three months,Male,7,0.9999594009115814
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,58,Once a year,Female,4,1.0
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,48,Once a month,Male,4,1.0
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,58,Once a week,Male,6,0.9999999999995026
No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,18,Once a year,Male,0,1.0
